City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Kieta,PG,77.63,few clouds,-6.22,155.63,np.nan
302,Ruwi,OM,89.6,clear sky,23.6,58.55,Al Falaj Hotel
306,Pleasanton,US,78.01,clear sky,37.66,-121.87,Courtyard by Marriott Pleasanton
309,Luwuk,ID,76.3,light rain,-0.95,122.79,Hotel Santika Luwuk
310,Birin,NP,82.4,scattered clouds,26.89,88.07,HOTEL SURYODAYA
316,Maceio,BR,75.2,shower rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
317,La Ronge,CA,77.0,few clouds,55.1,-105.28,Northland Motor Hotel
321,Gandajika,CD,78.73,overcast clouds,-6.75,23.95,np.nan
324,Qui Nhon,VN,82.76,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
325,Hami,CN,84.07,broken clouds,42.8,93.45,Laoyutang Resort
327,Mabaruma,GY,83.37,moderate rain,8.2,-59.78,np.nan
328,The Valley,AI,89.6,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
330,Guerrero Negro,MX,83.93,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
332,Lahaina,US,80.6,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
333,Langen,DE,78.01,broken clouds,49.99,8.67,Turmhotel Rhein-Main
336,Koulikoro,ML,84.99,broken clouds,14.0,-7.75,np.nan
338,Campos Do Jordao,BR,77.0,few clouds,-22.74,-45.59,Canada Lodge Inn
340,Lorena,BR,77.0,few clouds,-22.73,-45.12,Hotel Guarany
341,Moussoro,TD,83.28,moderate rain,13.64,16.49,Pharmacie alnadja Moussoro
343,Garango,BF,83.77,overcast clouds,11.8,-0.55,Hotel Boulgou
344,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
351,Yasnyy,RU,80.17,overcast clouds,51.03,59.87,Kosmos
352,Bubaque,GW,81.05,overcast clouds,11.28,-15.83,Casa Dora
358,Cabatuan,PH,76.98,overcast clouds,10.88,122.49,Tobias Hime
359,Sao Filipe,CV,78.31,broken clouds,14.9,-24.5,Tortuga B&B
360,Tura,IN,79.57,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
362,Mogadishu,SO,77.14,light rain,2.04,45.34,Hotel Juba
369,Tena,EC,87.8,scattered clouds,-0.98,-77.82,Hostal Tena Ñaui
370,Pangai,TO,75.2,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
371,Yonago,JP,78.8,broken clouds,35.43,133.33,Bayside Square Kaike Hotel
372,Athens,GR,87.8,few clouds,37.98,23.72,Novotel Athenes
373,Najran,SA,87.8,scattered clouds,17.49,44.13,محمد هادي ال فطيح
374,Kavaratti,IN,82.4,light rain,10.57,72.64,Bismillah Hotel And Lodging
375,Seoul,KR,80.6,light rain,37.57,126.98,LOTTE HOTEL SEOUL
